date,day,steps,distance,altitude,calories
2017-10-31,Tuesday,11248,6.16,26,2568
2017-11-01,Wednesday,18600,11.25,44,3000
2017-11-02,Thursday,7264,3.98,16,2218
2017-11-03,Friday,14740,8.53,32,2625
2017-11-04,Saturday,6986,3.91,4,2260
2017-11-05,Sunday,6640,3.71,7,2541
2017-11-06,Monday,8274,4.62,14,2417
2017-11-07,Tuesday,14942,8.28,30,2999
2017-11-08,Wednesday,11198,6.13,14,2622
2017-11-09,Thursday,5929,3.25,16,2126
2017-11-10,Friday,12468,7.25,25,2677
2017-11-11,Saturday,733,0.4,0,1814
2017-11-12,Sunday,971,0.53,0,1863
2017-11-13,Monday,14255,7.81,30,2738
2017-11-14,Tuesday,13939,7.64,27,2793
2017-11-15,Wednesday,11104,6.27,26,2375
2017-11-16,Thursday,10068,5.61,22,2483
2017-11-17,Friday,7741,4.24,15,2338
2017-11-18,Saturday,3386,1.85,1,1958
2017-11-19,Sunday,9518,5.3,8,2574
2017-11-20,Monday,8831,5.11,14,2370
2017-11-21,Tuesday,15205,8.33,37,2963
2017-11-22,Wednesday,5686,3.12,18,2113
2017-11-23,Thursday,9717,5.41,18,2385
2017-11-24,Friday,7131,3.91,23,2208
2017-11-25,Saturday,8053,4.41,7,2661
2017-11-26,Sunday,10516,5.82,7,2691
2017-11-27,Monday,19829,11.21,28,3454
2017-11-28,Tuesday,10880,6.66,24,2437
2017-11-29,Wednesday,6130,3.45,16,2128
2017-11-30,Thursday,9150,5.01,30,2435
2017-12-01,Friday,9155,5.02,17,2363
2017-12-02,Saturday,4806,2.63,5,2386
2017-12-03,Sunday,2794,1.53,1,1916
2017-12-04,Monday,12439,6.82,21,2583
2017-12-05,Tuesday,13146,7.37,33,2854
2017-12-06,Wednesday,15161,8.34,34,3118
2017-12-07,Thursday,6566,3.6,41,2293
2017-12-08,Friday,5931,3.42,17,2102
2017-12-09,Saturday,8792,5.17,9,2486
2017-12-10,Sunday,8236,4.57,0,3546
2017-12-11,Monday,21648,11.95,19,3382
2017-12-12,Tuesday,16719,9.54,38,2827
2017-12-13,Wednesday,13465,7.46,19,2601
2017-12-14,Thursday,11282,7.16,3,2614
2017-12-15,Friday,11988,6.57,20,2695
2017-12-16,Saturday,18746,10.36,20,3286
2017-12-17,Sunday,1313,0.72,2,1882
2017-12-18,Monday,10820,5.93,39,2524
2017-12-19,Tuesday,11077,6.07,9,2537
2017-12-20,Wednesday,7685,4.21,3,2326
2017-12-21,Thursday,4126,2.26,10,2103
2017-12-22,Friday,10452,5.73,7,2523
2017-12-23,Saturday,1740,0.95,2,1905
2017-12-24,Sunday,1535,0.84,5,1861
2017-12-25,Monday,8236,4.51,42,2460
2017-12-26,Tuesday,5570,3.05,1,2221
2017-12-27,Wednesday,9390,5.14,14,2742
2017-12-28,Thursday,11364,6.23,69,2726
2017-12-29,Friday,7942,4.35,21,2292
2017-12-30,Saturday,5573,3.05,4,2302
2017-12-31,Sunday,14163,7.76,9,2888
2018-01-01,Monday,6280,3.44,15,2313
2018-01-02,Tuesday,9534,5.22,13,2618
2018-01-03,Wednesday,3821,2.09,4,2104
2018-01-04,Thursday,13997,7.85,74,2896
2018-01-05,Friday,6880,3.77,22,2546
2018-01-06,Saturday,17247,9.63,33,2891
2018-01-07,Sunday,22819,12.75,38,3331
2018-01-08,Monday,11531,6.58,35,2445
2018-01-09,Tuesday,13242,7.82,26,2803
2018-01-10,Wednesday,22632,12.49,48,3189
2018-01-11,Thursday,16555,9.1,24,2817
2018-01-12,Friday,9808,5.37,26,2570
2018-01-13,Saturday,7693,4.21,6,2326
2018-01-14,Sunday,17810,9.85,24,2816
2018-01-15,Monday,13676,7.85,16,2855
2018-01-16,Tuesday,7403,4.4,13,2363
2018-01-17,Wednesday,8327,4.84,37,2322
2018-01-18,Thursday,3435,2.33,9,1968
2018-01-19,Friday,5537,3.09,9,2207
2018-01-20,Saturday,1615,0.88,0,1877
2018-01-21,Sunday,5132,2.91,3,2169
2018-01-22,Monday,16373,9.79,41,3007
2018-01-23,Tuesday,10232,5.69,36,2460
2018-01-24,Wednesday,11304,6.21,52,2683
2018-01-25,Thursday,4782,2.62,1,2036
2018-01-26,Friday,16231,8.98,14,2935
2018-01-27,Saturday,14883,8.16,66,2689
2018-01-28,Sunday,10490,5.75,29,2433
2018-01-29,Monday,12175,6.67,44,2545
2018-01-30,Tuesday,13559,7.43,34,2688
2018-01-31,Wednesday,12274,6.82,53,2481
2018-02-01,Thursday,13777,7.55,36,2642
2018-02-02,Friday,13087,7.17,38,2616
2018-02-03,Saturday,15014,8.35,18,2968
2018-02-04,Sunday,17558,9.62,63,3026
2018-02-05,Monday,16667,9.82,25,2909
2018-02-06,Tuesday,10137,6.03,29,2371
2018-02-07,Wednesday,10362,5.77,23,2419
2018-02-08,Thursday,6054,3.5,20,2090
2018-02-09,Friday,10191,5.86,23,2354
2018-02-10,Saturday,15275,8.89,27,3007
2018-02-11,Sunday,9172,5.03,32,2306
2018-02-12,Monday,6712,3.76,18,2146
