date,day,steps,distance,altitude,calories
2019-01-21,Monday,6020,3.3,26,2302
2019-01-22,Tuesday,4895,3.12,18,2153
2019-01-23,Wednesday,6454,4.09,23,2232
2019-01-24,Thursday,5892,3.23,24,2127
2019-01-25,Friday,10623,6.06,33,2807
2019-01-26,Saturday,18125,13.25,39,3278
2019-01-27,Sunday,655,0.36,0,1751
2019-01-28,Monday,8509,5.1,26,2493
2019-01-29,Tuesday,3254,1.78,11,1999
2019-01-30,Wednesday,7026,4.26,25,2409
2019-01-31,Thursday,18189,10.29,56,3025
2019-02-01,Friday,13965,7.65,31,2758
2019-02-02,Saturday,50496,27.69,307,5019
2019-02-03,Sunday,3706,2.03,11,2017
2019-02-04,Monday,8751,5.15,24,2341
2019-02-05,Tuesday,5883,3.22,16,2176
2019-02-06,Wednesday,3440,1.88,16,1665
